record_id,Mã Sản Phẩm,Tên sản phẩm,Bán chạy,Ảnh,Ảnh báo giá(1 ảnh rõ sản phẩm),sp ưu tiên,Nhóm công việc,Media,Mô tả,Danh mục,Thể Loại,Đơn vị,Quy CáchGhép SP,Kích thước,Khối lượng (m3),Trọng lượng (tấn),Đá xanh đen,Đá xanh rêu,Đá xám BĐ,Đá GRN đen Ấn Độ,Ghi chú,Video,Link ảnh,GÁN MÃ ẢNH,Link ảnh có mã
recvh1c8XYOKv0,HR07,Hàng rào 94,Bán chạy,https://open.larksuite.com/open-apis/drive/v1/medias/E8VwbD6SHo5Mx8xhTVWlQyIDgWg/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/PYXIbwDkZoCpO8xlDQflk8Bhgzc/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/DMbUb37V8ogZfRxinygl1POggbb/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/SsEqb6bGcoM9kUxejM3lZCiAg4e/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,PJ108,chưa có video,Trường Tồn,Hàng rào,md,,"Vách dày 80mm
Có triện
",0.088,0.264,4023000,5280000,6600000,12455000,,https://open.larksuite.com/open-apis/drive/v1/medias/DWTgbcK5zoZwZ4xJ8LDlCLePgHg/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A34%3A11.083-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:HR07,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220867/120_rysdxe.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:HR07,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220868/121_kcthwc.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:HR07,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220868/119_pjfeeq.png"
recvfYNnn5r9zm,M01,Mộ 2 cấp - KT: 1270x790x760mm,Bán chạy,https://open.larksuite.com/open-apis/drive/v1/medias/TPcobKGQDo5YqBxOa21lN8q6g6c/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/Qzq1bm9ymopRbdxSQC7lqpH9gUc/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,An Tâm,Mộ ,ngôi,6,KT: D1270xR790xC760mm,0.251,0.753,10431000,13691000,16610000,33959000,"Đế ghép từ 4 khối 
Nắp mộ liền khối. bia liền khối",,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A34%3A20.335-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:M01,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220855/M01_Anh_3_ttkby3.png"
recvfYNnn5y60R,M01.1,Mộ 2 cấp - KT: 1070x690x600mm,Bán chạy,https://open.larksuite.com/open-apis/drive/v1/medias/EGlcbDV6tosLL2xvtLblTtSagEd/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/BCnpbBzIMokEIPxCEw0lkmmRgKT/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,An Tâm,Mộ ,ngôi,6,KT: D1070xR690xC600mm,0.162,0.486,6732000,8836000,10721000,21918000,"Đế ghép từ 4 khối 
Nắp mộ liền khối. bia liền khối",,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A34%3A28.846-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:M01.1,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220856/M01_Anh_3_c5sp3v.png"
recvfYNnn5Raen,M01.2,Mộ 2 cấp - KT: 1270x810x780mm,Bán chạy,https://open.larksuite.com/open-apis/drive/v1/medias/GHPWbfn7Yog9eKx9a6WlTeUogKd/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/Ysqnb2DDBooMI3xYBxjlU8vXgtb/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,An Tâm,Mộ ,ngôi,6,KT: D1270xR810xC780mm,0.288,0.864,11969000,15709000,19059000,38965000,"Đế ghép từ 4 khối 
Nắp mộ liền khối. bia liền khối",,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A34%3A38.669-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:M01.2,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220867/M01_Anh_3_so1hh9.png"
recvfYNnn5JBsR,M01.3,Mộ 2 cấp - KT: 1470x970x880mm,Bán chạy,https://open.larksuite.com/open-apis/drive/v1/medias/Wrz5b0cQHoCR3KxbwgOlmYMUgif/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/S9r2bAaLvoYrmpxlhpOlnOMCgHe/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,An Tâm,Mộ ,ngôi,6,KT: D1470xR970xC880mm,0.441,1.323,18327000,24055000,29184000,59665000,"Đế ghép từ 4 khối 
Nắp mộ liền khối. bia liền khối",,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A34%3A48.202-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:M01.3,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220870/M01_Anh_3_rjvahr.png"
recvfYNnn582Cf,M01.4,Mộ 2 cấp - KT: 1270x810x780mm,Bán chạy,https://open.larksuite.com/open-apis/drive/v1/medias/OkPGbS2dQoFucRxYSpKlDIXHgFb/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/ZkIubjcVUocbNpxhBUMljdtrgRm/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,An Tâm,Mộ ,ngôi,3,KT: D1270xR810xC780mm,0.324,0.972,13465000,17673000,21441000,43835000,mộ liền khối các thớt. bia liền khối,,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A34%3A57.767-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:M01.4,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220868/M01_Anh_3_auvrhi.png"
recvfYNnn5DlGj,M01.5,Mộ 2 cấp - KT: 1570x1170x970mm,,https://open.larksuite.com/open-apis/drive/v1/medias/NENrbWXBaoFSU2xKUp4lZwRYgMe/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/KHgtbCZsQoD1vYx5SsTl5XRFgBf/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,An Tâm,Mộ ,ngôi,6,KT: D1570xR1170xC970mm,0.597,1.791,24810000,32564000,39507000,80771000,mộ liền khối các thớt. bia liền khối,,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A35%3A07.908-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:M01.5,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220860/M01_Anh_3_ky48ji.png"
recvi2UcOYC5Uz,M01.6,Mộ 2 cấp - KT: 1070x610x580mm,,https://open.larksuite.com/open-apis/drive/v1/medias/PiyubAsxsox306xZirvlYEPygVf/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/KHgtbCZsQoD1vYx5SsTl5XRFgBf/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,An Tâm,Mộ ,ngôi,3,KT: D1070xR610xC580mm,0.153,0.459,6358000,8345000,10125000,20700000,mộ liền khối các thớt. bia liền khối,,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A35%3A17.701-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:M01.6,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220856/M01_Anh_3_rifmbk.png"
recvi2Uc65GaJh,M01.7,Mộ 2 cấp - KT: 1270x790x760mm,,https://open.larksuite.com/open-apis/drive/v1/medias/SodFbsDHFo2zG3xATqtlhDnRg1g/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/KHgtbCZsQoD1vYx5SsTl5XRFgBf/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,An Tâm,Mộ ,ngôi,3,KT: D1070xR610xC580mm,0.315,0.945,13091000,17182000,20846000,42618000,mộ liền khối các thớt. bia liền khối,,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A35%3A27.717-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:M01.7,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220864/M01_Anh_3_twtogz.png"
recvfYNnn5rzmW,MN03,Mộ ngai - KT: 1070x690x940mm,,,,,,,,An Tâm,Mộ ,ngôi,18,KT: D1070xR690xC940mm,0.232,0.696,9642000,12655000,15353000,31388000,"Đế mộ ghép 4 khối
 Nắp mộ liền khối",,,Có,
recvfYNnn5bGgZ,MN03.1,Mộ ngai - KT: 1270x810x990mm,,,,,,,,An Tâm,Mộ ,ngôi,18,KT: D1270xR810xC990mm,0.314,0.942,13049000,17127000,20779000,42482000,"Đế mộ ghép 4 khối
 Nắp mộ liền khối",,,Có,
recvfYNnn5z7Zt,MN03.2,Mộ ngai - KT: 1270x890x1060mm,,,,,,,,An Tâm,Mộ ,ngôi,18,KT: D1270xR890xC1060mm,0.344,1.032,14296000,18764000,22765000,46541000,"Đế mộ ghép 4 khối
 Nắp mộ liền khối",,,Có,
recvfYNnn5M7dm,MN03.3,Mộ ngai - KT: 1470x970x1170mm,,,,,,,,An Tâm,Mộ ,ngôi,18,KT: D1470xR970xC1170mm,0.531,1.593,22068000,28964000,35140000,71841000,"Đế mộ ghép 4 khối
 Nắp mộ liền khối",,,Có,
recvfYNnn5bFWZ,MN03.4,Mộ ngai - KT: 1270x810x990mm,,,,,,,,An Tâm,Mộ ,ngôi,15,KT: D1270xR810xC990mm,0.372,1.116,15460000,20291000,24618000,50329000,"Đế mộ liền khối
 Nắp mộ liền khối",,,Có,
recvfYNnn59j7C,MN02,Mộ ngai - KT: 2350x1270x1545mm,Bán chạy,https://open.larksuite.com/open-apis/drive/v1/medias/WSSDbPztfovF6xxSuR7li4hRgBd/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/CLvWbM3shoPBzEx3vUQl8hLNgEg/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/DkT5bynyZojCWBxCsBnl9mUhgbh/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,Trường Tồn,Mộ ,ngôi,26,KT: D2350xR1270xC1545mm,1.028,3.084,46994000,61680000,77100000,145502000,"Đế mộ ghép 4 khối 
Nắp mộ liền khối",,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A35%3A36.374-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:MN02,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220865/MN02_Anh_2_rlfrjt.jpg
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:MN02,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220865/MN02_Anh_3_uwpako.jpg"
recvi2ZanlwnrZ,MN02.1,Mộ ngai - KT: 2700x1700x1880mm,Bán chạy,https://open.larksuite.com/open-apis/drive/v1/medias/NQqjbCxKjoJH8vx2fEElsS3tgnd/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/G6UtbMRKgokds1xs67Ul6ybQgJh/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/DkT5bynyZojCWBxCsBnl9mUhgbh/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,Trường Tồn,Mộ ,ngôi,26,KT: D27000xR1700xC1880mm,1.881,5.643,85989000,112860000,141075000,266234000,"Đế mộ ghép 4 khối 
Nắp mộ liền khối",,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A35%3A44.245-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:MN02.1,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778658218/MN02_Anh_2_diiajf.jpg
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:MN02.1,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778658218/MN02_Anh_3_jyylto.jpg"
recvi2Z9NufcX7,MN02.2,Mộ ngai - KT: 2350x1470x1560mm,Bán chạy,https://open.larksuite.com/open-apis/drive/v1/medias/GP8tbgtlboKloYxC073lavPVg9e/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/TUDobbYbvoebq7xXnOrledpJgmt/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/DkT5bynyZojCWBxCsBnl9mUhgbh/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,Trường Tồn,Mộ ,ngôi,26,KT: D2350xR1470xC1560mm,1.177,3.531,53806000,70620000,88275000,166591000,"Đế mộ ghép 4 khối 
Nắp mộ liền khối",,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A35%3A53.362-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:MN02.2,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778658209/MN02_Anh_2_q9hasd.jpg
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:MN02.2,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778658209/MN02_Anh_3_bgr3ni.jpg"
recvfYNnn5K8f3,M04,Mộ 2 cấp - KT: 870x470x305mm,,https://open.larksuite.com/open-apis/drive/v1/medias/KEqhbr8tDo3AQhxhw9NlweDCg4d/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/G2XqbhvVEozaTvxHOsPlbpqogsd/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/Np10byIBFompsGxG70blGKZlgId/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,An Tâm,Mộ ,ngôi,3,KT: D870xR470xC305mm,0.077,0.231,3200000,4200000,5096000,10418000,"Đế mộ liền khối
 Nắp mộ liền khối",,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A36%3A02.980-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:M04,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778658230/IMG_0258_l42thc.heic
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:M04,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778658229/IMG_4128_h1s5ow.jpg"
recvfYNnn5yT61,M04.1,Mộ 2 cấp - KT: 870x570x320mm,,,,,,,,An Tâm,Mộ ,ngôi,3,KT: D870xR570xC320mm,0.096,0.288,3990000,5236000,6353000,12988000,"Đế mộ liền khối
 Nắp mộ liền khối",,,Có,
recvfYNnn5Fi3w,M04.2,Mộ 2 cấp - KT: 990x690x370mm,,,,,,,,An Tâm,Mộ ,ngôi,3,KT: D990xR690xC370mm,0.145,0.435,6026000,7909000,9596000,19618000,"Đế mộ liền khối
 Nắp mộ liền khối",,,Có,
recvfYNnn5iMkD,MT03,Mộ tròn - KT:1360mm,Bán chạy,https://open.larksuite.com/open-apis/drive/v1/medias/B8tebJOzDoxo5CxpzXGlYG13gcf/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/VqOjbrtlFoZZx4xaYPylEXtqgzZ/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,Trường Tồn,Mộ ,ngôi,18,KT: DK1360xC1305 mm,1.323,3.969,60480000,79380000,99225000,187255000,liền khối các thớt,,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A36%3A12.475-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:MT03,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778658621/MT03_azj9cz.jpg"
recvfYNnn5Vk9I,MT03.1,Mộ tròn - KT:1970mm,,,,,,,,Trường Tồn,Mộ ,ngôi,25,KT: DK1970xC1270mm,1.189,3.567,54354000,71340000,89175000,168289000,"Đế, Thân, Nắp ghép 6 khối",,,Có,
recvfYNnn5g6M6,M07,Mộ 3 cấp - KT: 1470x970x1050mm,,,,,,,,Trường Tồn,Mộ ,ngôi,15,KT: D1470xR970xC1050mm,0.495,1.485,22629000,29700000,37125000,70062000,Đế mộ ghép từ 4 khối. nắp mộ liền,,,Có,
recvfYNnn5wHMO,M07.1,Mộ 3 cấp - KT: 1270x790x940mm,,,,,,,,Trường Tồn,Mộ ,ngôi,15,KT: D1270xR790xC940mm,0.327,0.981,14949000,19620000,24525000,46283000,Đế mộ ghép từ 4 khối. nắp mộ liền,,,Có,
recvfYNnn5rJMj,M08,Mộ 3 cấp - KT: 1470x970x1050mm,Bán chạy,https://open.larksuite.com/open-apis/drive/v1/medias/APshbEyJEo7CqfxcxALlI3MBgzf/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/R1Egb0ECXoG46CxaWThlFntjgzh/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/DdJGbQIkQoLvP2xm8KalAUyBg2d/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/F782bXiUzoPF6qxl1xal3eYxgYc/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,Trường Tồn,Mộ ,ngôi,4,KT: D1470xR970xC1050mm,0.688,2.064,31451000,41280000,51600000,97378000,liền khối các thớt,,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A36%3A24.658-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:M08,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778659004/IMG_9906_copy_qx8rua.jpg
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:M08,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778659004/IMG_9906_enrhsv.jpg
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:M08,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778659003/ChatGPT_Image_15_32_20_24_thg_2_2026_x29nrv.png"
recvfYNnn5Jt5j,M08.1,Mộ 3 cấp - KT: 1835x1470x1160mm,,,,,,,,Trường Tồn,Mộ ,ngôi,4,KT: D1835xR1470xC1160mm,1.352,4.056,61806000,81120000,101400000,191360000,liền khối các thớt,,,Có,
recvfYNnn5ik0H,M09,Mộ 3 cấp - KT: 1270x810x890mm,,,,,,,,Trường Tồn,Mộ ,ngôi,5,KT: D1270xR810xC890mm,0.359,1.077,16411000,21540000,26925000,50812000,liền khối các thớt,,,Có,
recvfYNnn5bKSU,MN01,Mộ ngai - KT: 810x1270x970mm,,,,,,,,Trường Tồn,Mộ ,ngôi,18,KT: D810xR1270xC970mm,0.311,0.933,14217000,18660000,23325000,44018000,"Đế mộ ghép 4 khối 
Nắp mộ liền khối",,,Có,
recvfYNnn5pvtG,MT01,Mộ tròn - KT:1470 mm,,https://open.larksuite.com/open-apis/drive/v1/medias/Mb6Fb6tYaoG7RCxckZxllMdlgee/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/P9M6bCmsYoiFs6xvT0yluK6dgme/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,Trường Tồn,Mộ ,ngôi,17,"KT: DK1470xC1270 mm
",0.949,2.847,43383000,56940000,71175000,134320000,"Đế, Thân, Nắp ghép 4 khối",,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A36%3A33.933-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:MT01,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778659193/A%CC%89nh_ma%CC%80n_hi%CC%80nh_2026-04-13_lu%CC%81c_16.21.10_asjdj6.png"
recvfYNnn5rSVs,MT01.1,Mộ tròn - KT:1270mm,,,,,,,,An Tâm,Mộ ,ngôi,16,KT: DK1270xC1130mm,0.713,2.139,29631000,38891000,47184000,96465000,"Đế, Thân, Nắp ghép 3 khối",,,Có,
recvfYNnn5ZPR3,MT01.2,Mộ tròn - KT:1560mm,Bán chạy,https://open.larksuite.com/open-apis/drive/v1/medias/X1PgbadIloGYvIxKREXlWiyXgoh/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/OrRZbm9gqotVbLx2EsWlDiWqgRh/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/VQMWb8r6coH4slx479El99M6gFh/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/Dzp2bDl5YoRQrsxDycvlpjmCgfg/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/FtX1bXk1ToHLCKxVjUUlGJq9g4M/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/QSSJbwLeyolEZLxbgfql1nNig4b/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/FXrXbu5PBopqxGxBQzElbBqzghb/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,PJ048,,Trường Tồn,Mộ ,ngôi,19,KT: DK1560xC1360mm,1.117,3.351,51063000,67020000,83775000,158098000,"Đế, Thân, Nắp ghép 4 khối",https://open.larksuite.com/open-apis/drive/v1/medias/HMmPbcHFwofIoxxzzzaltszaghb/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A36%3A42.814-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:MT01.2,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778659882/81_odw1ty.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:MT01.2,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778659882/79_sn4jps.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:MT01.2,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778659883/77_moqhmq.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:MT01.2,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778659883/80_q71jru.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:MT01.2,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778659883/78_oyeqhk.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:MT01.2,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778659883/76_oftf9b.png"
recvfYNnn5c5gs,MT01.3,Mộ tròn - KT:1670mm,,,,,,,,Trường Tồn,Mộ ,ngôi,19,KT: DK1670xC1440mm,1.373,4.119,62766000,82380000,102975000,194332000,"Đế, Thân, Nắp ghép 4 khối",,,Có,
